product_name,brand,category,merchant,merchant_city,merchant_type,bundle,price_before_discount,price_after_discount,discount_percentage,unit_sold,product_rating
【super creator】 skintific paket 4pcs set moisturizer +serum + cleanser + sunscreen bundle: glowing set / acne set /repair barrier set / anti dark spot set / hydrating set,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,698276.0,405000.0,42,1,4.9
[paulaverhoeven exclusive] [kulit berjerawat] skintific aqua sunscreen light daily sunscreen spf 35 pa+++ 30g/50g| skincare sunscreen skin true to skin tinted sunscreen aqua sunblock sunblock badan sun stick glowing barrier anti-aging brightening,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,133898.0,79000.0,41,30,4.8
【2pcs*70ml】skintific light sunscreen mist spf 50 pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,300000.0,138000.0,54,250,4.8
【video】skintific paket 4pcs set moisturizer +serum + cleanser + sunscreen bundle: glowing set / acne set /repair barrier set / anti dark spot set / hydrating set,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,692857.0,388000.0,44,100,4.8
【video】skintific 5x ceramide serum sunscreen 30ml /50ml/80ml spf 50 pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,363235.0,247000.0,32,70,4.8
【video】【new】skintific -2pcs/3pcs/4pcs/5pcs paket-skincare set | skintific 3x acid intensive acne spot 11g + 3x acne cleanser + mugwort clay stick + 5x  moisturizer ceramide barrier +  aqua sunscreen light daily sunscreen,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,308824.0,210000.0,32,100,4.8
skintific aqua sunscreen light daily sunscreen spf 35 pa+++ 30g/50g| skincare sunscreen skin true to skin tinted sunscreen aqua sunblock sunblock badan sun stick glowing barrier anti-aging brightening whitening mencerahkan wajah melindungi kulit,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,133898.0,79000.0,41,750,4.8
【new】【70ml】skintific light sunscreen mist spf 50 pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,No,111290.0,69000.0,38,2,4.8
【video】【2pcs*50g sunsceen set 】skintific  matte fit serum sunscreen 50g spf50+ pa++++/aqua sunscreen light daily sunscreen spf 35 pa++/ 5x ceramide serum sunscreen spf 50 pa++++,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,286667.0,215000.0,25,40,4.8
skintific  6pcs set sunscreen wajah+serum+moisturizer+cleanser day cream night cream symwhite 377 dark spot moisture gel 30g retinol skin renewal moisturizer 30g pelembab wajah serum wajah anti-aging dark spot brightening glowing,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,797403.0,614000.0,23,750,4.8
skintific travel kit skincare paket：5x ceramide low ph cleanser 15ml + moisture gel 6g + 5x ceramide serum sunscreen 5ml + 5x ceramide soothing toner 20ml,Skintific,Sunscreen,Skintificid,Jakarta Timur,Official Store,Yes,300000.0,135000.0,55,500,4.8
